"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"2590",10065423,"HY254374","05/10/2015 09:20:00 AM","012XX W 74TH PL","1780","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE","RESIDENCE","false","false",734,7,17,67,"26",1169292,1855379,2015,"02/10/2018 03:50:01 PM",41.758668202,-87.65512157,"(41.758668202, -87.65512157)"
"2591",10065424,"HY254371","05/10/2015 02:00:00 AM","021XX E 69TH ST","0820","THEFT","$500 AND UNDER","STREET","false","false",331,3,5,43,"06",1191848,1859641,2015,"02/10/2018 03:50:01 PM",41.769845753,-87.57231828,"(41.769845753, -87.57231828)"
"2592",10065425,"HY254333","05/09/2015 11:30:00 PM","066XX S WABASH AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",322,3,20,69,"07",1177745,1861148,2015,"02/10/2018 03:50:01 PM",41.774311921,-87.623967693,"(41.774311921, -87.623967693)"
"2593",10065426,"HY254324","05/10/2015 02:00:00 AM","035XX S COTTAGE GROVE AVE","0460","BATTERY","SIMPLE","CHURCH/SYNAGOGUE/PLACE OF WORSHIP","false","false",212,2,4,36,"08B",1181386,1881466,2015,"02/10/2018 03:50:01 PM",41.829983038,-87.609993757,"(41.829983038, -87.609993757)"
"2594",10065427,"HY254330","05/08/2015 05:00:00 PM","051XX W AGATITE AVE","1154","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","RESIDENCE","false","false",1623,16,45,15,"11",1141216,1929099,2015,"02/10/2018 03:50:01 PM",41.961527251,-87.756203454,"(41.961527251, -87.756203454)"
"2595",10065428,"HY254303","05/10/2015 07:20:00 AM","067XX S RACINE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false",724,7,17,67,"14",1169483,1860025,2015,"02/10/2018 03:50:01 PM",41.771413286,-87.654287147,"(41.771413286, -87.654287147)"
"2596",10065429,"HY254302","05/09/2015 08:00:00 AM","025XX N MAJOR AVE","1305","CRIMINAL DAMAGE","CRIMINAL DEFACEMENT","RESIDENCE-GARAGE","false","false",2515,25,30,19,"14",1137953,1916307,2015,"02/10/2018 03:50:01 PM",41.926484385,-87.768510133,"(41.926484385, -87.768510133)"
"2597",10065430,"HY254323","05/10/2015 08:00:00 AM","064XX S FAIRFIELD AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","STREET","false","false",825,8,15,66,"14",1159153,1861766,2015,"02/10/2018 03:50:01 PM",41.776408412,-87.692105986,"(41.776408412, -87.692105986)"
"2598",10065432,"HY254298","05/07/2015 03:00:00 PM","118XX S BISHOP ST","0890","THEFT","FROM BUILDING","RESIDENCE","false","false",524,5,34,53,"06",1168796,1826287,2015,"02/10/2018 03:50:01 PM",41.678846054,-87.657776001,"(41.678846054, -87.657776001)"
"2599",10065433,"HY254310","05/10/2015 07:30:00 AM","024XX W HADDON AVE","0820","THEFT","$500 AND UNDER","STREET","false","false",1212,12,1,24,"06",1159957,1907568,2015,"02/10/2018 03:50:01 PM",41.902077709,-87.687896794,"(41.902077709, -87.687896794)"
"2600",10065435,"HY254373","05/10/2015 09:20:00 AM","036XX N HALSTED ST","1330","CRIMINAL TRESPASS","TO LAND","GROCERY FOOD STORE","true","false",1923,19,44,6,"26",1170274,1924384,2015,"02/10/2018 03:50:01 PM",41.948002375,-87.649508602,"(41.948002375, -87.649508602)"
"2601",10065436,"HY254279","05/09/2015 06:00:00 PM","077XX S JEFFERY BLVD","0820","THEFT","$500 AND UNDER","STREET","false","false",414,4,8,43,"06",1190881,1853976,2015,"02/10/2018 03:50:01 PM",41.754323952,-87.576045629,"(41.754323952, -87.576045629)"
"2602",10065437,"HY254261","05/09/2015 11:00:00 PM","026XX W 35TH ST","0915","MOTOR VEHICLE THEFT","TRUCK, BUS, MOTOR HOME","VEHICLE-COMMERCIAL","false","false",911,9,12,58,"07",1159433,1881362,2015,"02/10/2018 03:50:01 PM",41.830176645,-87.690542273,"(41.830176645, -87.690542273)"
"2603",10065438,"HY254320","05/10/2015 05:00:00 AM","013XX W RANDOLPH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","true","true",1224,12,27,28,"08B",1167730,1901073,2015,"02/10/2018 03:50:01 PM",41.884090949,-87.659532917,"(41.884090949, -87.659532917)"
"2604",10065439,"HY254403","05/09/2015 07:00:00 PM","012XX W 16TH ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",1233,12,25,28,"14",1168548,1892213,2015,"02/10/2018 03:50:01 PM",41.859760754,-87.656785579,"(41.859760754, -87.656785579)"
"2605",10065440,"HY254301","05/08/2015 10:00:00 AM","004XX E 74TH ST","0460","BATTERY","SIMPLE","SIDEWALK","false","false",323,3,6,69,"08B",1180322,1856042,2015,"02/10/2018 03:50:01 PM",41.760241811,-87.614677342,"(41.760241811, -87.614677342)"
"2606",10065441,"HY254417","05/10/2015 10:00:00 AM","005XX N SPRINGFIELD AVE","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","SIDEWALK","true","false",1122,11,27,23,"18",1150294,1903276,2015,"02/10/2018 03:50:01 PM",41.890494037,-87.723502612,"(41.890494037, -87.723502612)"
"2607",10065443,"HY254342","05/10/2015 08:53:00 AM","042XX W DIVISION ST","041A","BATTERY","AGGRAVATED: HANDGUN","APARTMENT","false","false",1111,11,37,23,"04B",1147986,1907664,2015,"02/10/2018 03:50:01 PM",41.902579875,-87.73186579,"(41.902579875, -87.73186579)"
"2608",10065444,"HY254397","05/09/2015 07:00:00 PM","067XX S KEDZIE AVE","0610","BURGLARY","FORCIBLE ENTRY","PARK PROPERTY","false","false",831,8,18,66,"05",1156204,1859967,2015,"02/10/2018 03:50:01 PM",41.771531518,-87.70296528,"(41.771531518, -87.70296528)"
"2609",10065447,"HY254375","05/10/2015 09:10:00 AM","018XX W 82ND ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true",614,6,18,71,"08B",1165633,1850306,2015,"02/10/2018 03:50:01 PM",41.744825545,-87.668675203,"(41.744825545, -87.668675203)"
"2610",10065449,"HY254319","05/10/2015 07:45:00 AM","095XX S PARNELL AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true",2223,22,21,73,"08B",1174314,1841589,2015,"02/10/2018 03:50:01 PM",41.720716528,-87.637125202,"(41.720716528, -87.637125202)"
"2611",10065450,"HY254456","05/10/2015 08:50:00 AM","043XX N KEDVALE AVE","0630","BURGLARY","ATTEMPT FORCIBLE ENTRY","RESIDENCE","false","false",1722,17,39,16,"05",1148069,1928552,2015,"02/10/2018 03:50:01 PM",41.95989682,-87.731021915,"(41.95989682, -87.731021915)"
"2612",10065451,"HY254404","05/09/2015 11:30:00 PM","064XX S RICHMOND ST","0810","THEFT","OVER $500","STREET","false","false",823,8,15,66,"06",1157824,1861737,2015,"02/10/2018 03:50:01 PM",41.776355922,-87.696978847,"(41.776355922, -87.696978847)"
"2613",10065453,"HY254414","05/09/2015 11:30:00 PM","001XX N PULASKI RD","031A","ROBBERY","ARMED: HANDGUN","STREET","false","false",1122,11,28,26,"03",1149719,1900043,2015,"02/10/2018 03:50:01 PM",41.88163353,-87.725698375,"(41.88163353, -87.725698375)"
"2614",10065455,"HY254440","05/09/2015 08:00:00 PM","051XX N ASHLAND AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",2032,20,48,3,"14",1164738,1934080,2015,"02/10/2018 03:50:01 PM",41.974728007,-87.669581538,"(41.974728007, -87.669581538)"
"2615",10065456,"HY254445","05/10/2015 11:00:00 AM","031XX W 56TH ST","0870","THEFT","POCKET-PICKING","CTA BUS","false","false",824,8,14,63,"06",1156534,1867331,2015,"02/10/2018 03:50:01 PM",41.791732765,-87.701557268,"(41.791732765, -87.701557268)"
"2616",10065457,"HY254377","05/08/2015 07:00:00 PM","052XX S PULASKI RD","0810","THEFT","OVER $500","PARKING LOT/GARAGE(NON.RESID.)","false","false",815,8,23,62,"06",1150590,1869566,2015,"02/10/2018 03:50:01 PM",41.79798374,-87.723294914,"(41.79798374, -87.723294914)"
"2617",10065458,"HY254451","05/10/2015 08:00:00 AM","048XX N LINCOLN AVE","0820","THEFT","$500 AND UNDER","SMALL RETAIL STORE","false","false",2031,20,47,4,"06",1159267,1932501,2015,"02/10/2018 03:50:01 PM",41.970509714,-87.689743734,"(41.970509714, -87.689743734)"
"2618",10065459,"HY254380","05/10/2015 08:43:00 AM","046XX N BROADWAY","1330","CRIMINAL TRESPASS","TO LAND","RESIDENCE","true","false",1914,19,46,3,"26",1167899,1931033,2015,"02/10/2018 03:50:01 PM",41.966299148,-87.658045926,"(41.966299148, -87.658045926)"
"2619",10065461,"HY254286","05/10/2015 03:30:00 AM","013XX W NORTH AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","true",1433,14,32,24,"14",1167262,1910775,2015,"02/10/2018 03:50:01 PM",41.91072397,-87.660972253,"(41.91072397, -87.660972253)"
"2620",10065462,"HY254419","05/10/2015 03:30:00 AM","006XX N STATE ST","0870","THEFT","POCKET-PICKING","OTHER","false","false",1834,18,42,8,"06",1176247,1904872,2015,"02/10/2018 03:50:01 PM",41.894327846,-87.62814321,"(41.894327846, -87.62814321)"
"2621",10065463,"HY254296","05/10/2015 05:00:00 AM","058XX S TROY ST","0313","ROBBERY","ARMED: OTHER DANGEROUS WEAPON","STREET","false","false",824,8,14,63,"03",1156385,1865639,2015,"02/10/2018 03:50:01 PM",41.787092679,-87.702149177,"(41.787092679, -87.702149177)"
